iter	Passed	Remaining
0	5	7717
1	9	6953
2	13	6635
3	17	6561
4	21	6334
5	24	6097
6	28	6168
7	32	6063
8	36	6084
9	40	6030
10	44	6057
11	48	6023
12	53	6065
13	58	6165
14	61	6095
15	66	6158
16	70	6114
17	73	6092
18	77	6061
19	81	6035
20	85	6023
21	89	6016
22	93	6010
23	97	5984
24	101	5991
25	105	5994
26	109	5986
27	113	5960
28	117	5967
29	122	6018
30	126	5995
31	130	6001
32	135	6003
33	139	6005
34	144	6030
35	148	6048
36	152	6046
37	157	6071
38	162	6071
39	166	6064
40	170	6065
41	174	6048
42	178	6053
43	183	6063
44	187	6074
45	192	6071
46	196	6070
47	200	6062
48	209	6212
49	214	6218
50	218	6203
51	221	6177
52	227	6202
53	232	6233
54	238	6263
55	243	6266
56	248	6282
57	254	6327
58	261	6375
59	265	6363
60	270	6381
61	275	6388
62	279	6384
63	285	6404
